job_id,title,company,description,skills
JOB_001,DevOps Engineer,Gamma Innovations,"We are looking for a talented DevOps Engineer to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include css, react, flask, html, tensorflow, scrum, c++, java. The ideal candidate has strong problem-solving abilities and a passion for technology.","css,react,flask,html,tensorflow,scrum,c++,java"
JOB_002,Full Stack Developer,Cloud9,"We are looking for a talented Full Stack Developer to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include agile, linux, scrum. The ideal candidate has strong problem-solving abilities and a passion for technology.","agile,linux,scrum"
JOB_003,Cloud Architect,DataWorks,"We are looking for a talented Cloud Architect to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include linux, typescript, nodejs. The ideal candidate has strong problem-solving abilities and a passion for technology.","linux,typescript,nodejs"
JOB_004,Data Analyst,DataWorks,"We are looking for a talented Data Analyst to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include rest api, django, flask. The ideal candidate has strong problem-solving abilities and a passion for technology.","rest api,django,flask"
JOB_005,UI/UX Designer,Cloud9,"We are looking for a talented UI/UX Designer to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include machine learning, python, javascript, java, agile, html, kubernetes, css. The ideal candidate has strong problem-solving abilities and a passion for technology.","machine learning,python,javascript,java,agile,html,kubernetes,css"
JOB_006,Data Analyst,DataWorks,"We are looking for a talented Data Analyst to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include agile, nodejs, c++, linux, aws. The ideal candidate has strong problem-solving abilities and a passion for technology.","agile,nodejs,c++,linux,aws"
JOB_007,Systems Administrator,Epsilon IT,"We are looking for a talented Systems Administrator to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include aws, docker, python, java, sql. The ideal candidate has strong problem-solving abilities and a passion for technology.","aws,docker,python,java,sql"
JOB_008,Product Manager,Epsilon IT,"We are looking for a talented Product Manager to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include tensorflow, pytorch, git. The ideal candidate has strong problem-solving abilities and a passion for technology.","tensorflow,pytorch,git"
JOB_009,Data Scientist,DataWorks,"We are looking for a talented Data Scientist to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include javascript, pytorch, css. The ideal candidate has strong problem-solving abilities and a passion for technology.","javascript,pytorch,css"
JOB_010,Machine Learning Engineer,Cloud9,"We are looking for a talented Machine Learning Engineer to join our team. You will be responsible for building scalable systems and working with cross-functional teams. Required skills include scrum, python, typescript, linux. The ideal candidate has strong problem-solving abilities and a passion for technology.","scrum,python,typescript,linux"
